Table 31: Expected Change in Interest Rates During the Next Year
Month,Year,Go Up,Stay the Same,Go Down,DK; NA,Relative,
1,1990,45,26,27,2,82,
2,1990,48,29,20,3,72,
3,1990,51,32,16,1,65,
4,1990,55,29,14,2,59,
5,1990,58,30,10,2,52,
6,1990,56,23,18,3,62,
7,1990,50,29,18,3,68,
8,1990,59,20,19,2,60,
9,1990,63,21,14,2,51,
10,1990,57,24,17,2,60,
11,1990,57,20,21,2,64,
12,1990,43,23,32,2,89,
1,1991,33,21,42,4,109,
2,1991,31,23,43,3,112,
3,1991,35,28,35,2,100,
4,1991,40,30,28,2,88,
5,1991,33,32,33,2,100,
6,1991,34,34,29,3,95,
7,1991,43,33,21,3,78,
8,1991,38,33,27,2,89,
9,1991,30,38,30,2,100,
10,1991,34,31,32,3,98,
11,1991,30,30,37,3,107,
12,1991,25,33,39,3,114,
1,1992,29,32,36,3,107,
2,1992,37,34,26,3,89,
3,1992,38,37,21,4,83,
4,1992,42,35,20,3,78,
5,1992,40,38,21,1,81,
6,1992,43,35,20,2,77,
7,1992,36,37,23,4,87,
8,1992,37,40,22,1,85,
9,1992,40,37,21,2,81,
10,1992,47,35,15,3,68,
11,1992,58,27,12,3,54,
12,1992,60,25,13,2,53,
1,1993,56,30,12,2,56,
2,1993,47,35,15,3,68,
3,1993,44,35,19,2,75,
4,1993,43,40,14,3,71,
5,1993,50,35,13,2,63,
6,1993,54,34,11,1,57,
7,1993,41,42,15,2,74,
8,1993,50,37,11,2,61,
9,1993,41,42,15,2,74,
10,1993,40,42,16,2,76,
11,1993,47,39,11,3,64,
12,1993,50,36,11,3,61,
1,1994,52,36,9,3,57,
2,1994,64,24,9,3,45,
3,1994,72,20,7,1,35,
4,1994,75,16,8,1,33,
5,1994,75,16,6,3,31,
6,1994,74,18,7,1,33,
7,1994,75,19,5,1,30,
8,1994,76,16,7,1,31,
9,1994,77,16,5,2,28,
10,1994,79,16,4,1,25,
11,1994,76,16,6,2,30,
12,1994,81,12,6,1,25,
1,1995,76,17,6,1,30,
2,1995,73,17,8,2,35,
3,1995,71,18,9,2,38,
4,1995,59,26,12,3,53,
5,1995,58,28,13,1,55,
6,1995,50,26,20,4,70,
7,1995,42,28,27,3,85,
8,1995,45,33,20,2,75,
9,1995,51,29,18,2,67,
10,1995,49,33,15,3,66,
11,1995,47,32,19,2,72,
12,1995,43,35,19,3,76,
1,1996,42,34,20,4,78,
2,1996,35,32,31,2,96,
3,1996,40,33,24,3,84,
4,1996,56,30,12,2,56,
5,1996,55,27,16,2,61,
6,1996,57,27,13,3,56,
7,1996,56,30,11,3,55,
8,1996,57,31,9,3,52,
9,1996,64,25,9,2,45,
10,1996,60,30,8,2,48,
11,1996,56,34,8,2,52,
12,1996,56,32,11,1,55,
1,1997,58,30,10,2,52,
2,1997,52,36,10,2,58,
